Run	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Bytes	Center Name	Collection_Date	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	Experiment	geo_loc_name_country	geo_loc_name_country_continent	geo_loc_name	Host	Instrument	isolate	isolation_source	lat_lon	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	create_date	version	Sample Name	SRA Study
SRR12823315	AMPLICON	602	39924640	PRJNA669115	SAMN16434759	Metagenome or environmental	26333801	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"s3,gs,ncbi"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291078	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	201	skin	41.85 N 87.65 W	4-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-322-HSAP-USA-19-MM-4-HA-DRY-F	SRP287343
SRR12823316	AMPLICON	602	26072018	PRJNA669115	SAMN16434749	Metagenome or environmental	17190285	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"s3,gs,ncbi"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291077	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	191	skin	19.18 N 96.14 W	4-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-190-HSAP-MEX-19-MM-4-AP-DRY-F	SRP287343
SRR12823317	AMPLICON	602	31326274	PRJNA669115	SAMN16434559	Metagenome or environmental	20706520	NORTHWESTERN UNIVERSITY	2019	public	"fastq,sra,run.zq"	"ncbi,s3,gs"	"gs.US,ncbi.public,s3.us-east-1"	SRX9291076	Mexico	North America	Mexico: Veracruz	Homo sapiens	Illumina MiSeq	1	skin	19.18 N 96.14 W	1-MEX-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-180-HSAP-MEX-19-MM-1-AP-DRY-F	SRP287343
SRR12823318	AMPLICON	602	33525982	PRJNA669115	SAMN16434755	Metagenome or environmental	22078661	NORTHWESTERN UNIVERSITY	2019	public	"sra,fastq,run.zq"	"gs,ncbi,s3"	"s3.us-east-1,ncbi.public,gs.US"	SRX9291075	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	197	skin	41.85 N 87.65 W	4-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-321-HSAP-USA-19-MM-4-AP-DRY-F	SRP287343
SRR12823319	AMPLICON	602	25616304	PRJNA669115	SAMN16434757	Metagenome or environmental	16968326	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"s3,gs,ncbi"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291074	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	199	skin	41.85 N 87.65 W	4-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-320-HSAP-USA-19-MM-4-FH-DRY-F	SRP287343
SRR12823320	AMPLICON	602	28742490	PRJNA669115	SAMN16434725	Metagenome or environmental	18500221	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"ncbi,gs,s3"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291073	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	167	skin	41.85 N 87.65 W	24-USA-AP-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-319-HSAP-USA-19-MM-24-AP-DRY-F	SRP287343
SRR12823321	AMPLICON	602	31865666	PRJNA669115	SAMN16434729	Metagenome or environmental	21038409	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"ncbi,gs,s3"	"s3.us-east-1,gs.US,ncbi.public"	SRX9291072	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	171	skin	41.85 N 87.65 W	24-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-318-HSAP-USA-19-MM-24-HA-DRY-F	SRP287343
SRR12823322	AMPLICON	602	33830594	PRJNA669115	SAMN16434733	Metagenome or environmental	22031214	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"s3,ncbi,gs"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291071	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	175	skin	41.85 N 87.65 W	25-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-317-HSAP-USA-19-MM-25-FH-DRY-F	SRP287343
SRR12823323	AMPLICON	602	31078250	PRJNA669115	SAMN16434727	Metagenome or environmental	20374576	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,fastq,sra"	"s3,ncbi,gs"	"gs.US,s3.us-east-1,ncbi.public"	SRX9291070	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	169	skin	41.85 N 87.65 W	24-USA-FH-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-316-HSAP-USA-19-MM-24-FH-DRY-F	SRP287343
SRR12823324	AMPLICON	602	36847216	PRJNA669115	SAMN16434735	Metagenome or environmental	24049576	NORTHWESTERN UNIVERSITY	2019	public	"run.zq,sra,fastq"	"gs,s3,ncbi"	"ncbi.public,gs.US,s3.us-east-1"	SRX9291069	USA	North America	USA: Illinois	Homo sapiens	Illumina MiSeq	177	skin	41.85 N 87.65 W	25-USA-HA-forward	PAIRED	PCR	METAGENOMIC	human skin metagenome	ILLUMINA	2020-10-18T00:00:00Z	2020-10-18T08:04:00Z	1	Amato-315-HSAP-USA-19-MM-25-HA-DRY-F	SRP287343
