	SRR12823315	SRR12823316	SRR12823317	SRR12823318	SRR12823319	SRR12823320	SRR12823321	SRR12823322	SRR12823323	SRR12823324	SRR12823325	SRR12823326	SRR12823327	SRR12823328	SRR12823329	SRR12823330	SRR12823331	SRR12823332	SRR12823333	SRR12823334	SRR12823335	SRR12823336	SRR12823337	SRR12823338	SRR12823339	SRR12823340	SRR12823341	SRR12823342	SRR12823343	SRR12823344	SRR12823345	SRR12823346	SRR12823347	SRR12823348	SRR12823349	SRR12823350	SRR12823351	SRR12823352	SRR12823353	SRR12823354	SRR12823355	SRR12823356	SRR12823357	SRR12823358	SRR12823359	SRR12823360	SRR12823361	SRR12823362	SRR12823363	SRR12823364	SRR12823365	SRR12823366	SRR12823367	SRR12823368	SRR12823369	SRR12823370	SRR12823371	SRR12823372	SRR12823373	SRR12823374	SRR12823375	SRR12823376	SRR12823377	SRR12823378	SRR12823379	SRR12823380	SRR12823381	SRR12823382	SRR12823383	SRR12823384	SRR12823385	SRR12823386	SRR12823387	SRR12823388	SRR12823389	SRR12823390	SRR12823391	SRR12823392	SRR12823393	SRR12823394	SRR12823395	SRR12823396	SRR12823397	SRR12823398	SRR12823399	SRR12823400	SRR12823401	SRR12823402	SRR12823403	SRR12823404	SRR12823405	SRR12823406	SRR12823407	SRR12823408	SRR12823409	SRR12823410	SRR12823411	SRR12823412	SRR12823413	SRR12823414	SRR12823415	SRR12823416	SRR12823417	SRR12823418	SRR12823419	SRR12823420	SRR12823421	SRR12823423	SRR12823424	SRR12823425	SRR12823426	SRR12823427	SRR12823428	SRR12823429	SRR12823430	SRR12823431	SRR12823432	SRR12823433	SRR12823434	SRR12823435	SRR12823436	SRR12823437	SRR12823438	SRR12823439	SRR12823440	SRR12823441	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1	533	9748	11785	20011	412	25992	594	259	378	288	28290	98	125	101	713	302	3918	542	2611	18611	263	686	186	21107	0	1108	233	10531	2821	28729	148	811	620	89	640	30	76	26507	271	270	308	12399	20176	421	521	331	766	1632	377	4	0	5	47	5307	11842	100	150	7599	1857	242	766	15430	736	233	2810	1183	11730	1156	20574	85	9816	517	1849	309	849	10386	117	16082	4513	23144	207	35126	16322	6678	34594	35303	26571	12329	652	2197	668	28	1241	4542	1107	1082	12106	201	20728	374	274	827	584	24783	1841	2365	9	2567	245	127	22574	695	370	30474	207	1682	5	759	1854	180	133	1199	17049	36069	38098	24607	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/saprophyticus/schweitzeri/simiae/warneri
seq2	15271	285	0	2257	7014	324	1913	8953	2894	8742	1421	11203	4085	2568	3356	6230	2723	10773	5140	1457	12	12648	6077	2788	3	5760	3368	106	26	10	1312	1950	1713	551	3135	3140	189	221	12	541	6406	465	4342	8191	3942	3687	3425	4624	0	0	8	0	9131	40	30	7994	13849	245	3556	8423	5700	450	9238	7135	7003	9821	206	11373	84	2854	4732	2412	30628	6281	1552	2260	324	10693	13	69	17779	9	347	1515	25	6	14	124	1715	978	3382	36	1878	2708	1994	4659	2678	5181	532	1984	376	587	17	746	5815	1832	0	4806	3925	11495	2816	814	6325	1156	719	3412	66	20580	1545	1454	1326	1600	232	11	43	32	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	anginosus/infantis/mitis/oralis/pneumoniae/pseudopneumoniae/timonensis
seq3	2580	146	13	599	1862	617	2927	1908	3508	1852	227	1971	2372	1855	222	1786	399	2319	12809	514	4	8158	1913	686	0	1867	11997	156	38	1	522	1114	373	397	4220	1443	58	11	0	243	4315	1248	1349	2089	1366	1246	5586	2888	0	8	0	0	5528	15	21	6769	4034	172	1854	2867	1456	101	1203	2390	3943	2251	122	5919	100	579	5662	519	6362	3187	691	453	302	2054	0	71	3203	0	63	889	0	5	0	57	891	113	1978	29	1125	375	878	17141	2315	4534	519	5863	17444	5801	37	274	2983	659	0	1109	4255	1195	642	2010	323	86	667	1340	0	2284	1009	4672	359	736	93	0	46	47	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	anginosus/cristatus/mitis/oralis/pneumoniae/pseudopneumoniae/sanguinis
seq4	32	2897	4683	113	83	68	153	55	10	24	1223	2	25	14	27	2	95	59	163	428	21	70	14	5000	0	169	11	1660	10	1605	4	20	41	36	139	9	13	17563	102	25	23	7395	3332	25	13	36	12	109	370	2	0	110	6	161	484	16	6	4161	131	13	22	1211	32	63	702	98	2588	143	1194	4	33	33	133	15	71	1017	2	136	16936	212	21	2461	19403	2985	3165	8806	8285	8489	93	41	37	0	186	108	73	92	1066	10	2079	41	18	119	176	863	299	177	0	293	20	10	405	28	42	32	8	16	0	22	68	0	4	68	82	9937	4361	16306	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	aurimucosum/pseudogenitalium/tuberculostearicum
seq5	106	401	0	1126	56	765	1408	40	378	16	312	93	432	0	323	20	31	135	12	377	0	561	491	808	0	351	14	647	885	232	53	932	194	129	139	994	11	36	0	272	0	105	2230	285	0	0	0	193	2180	15959	19255	18270	25	7	36	166	139	352	60	616	1744	442	37	10	46	18	6	40	1537	22	71	37	34	59	1458	1042	64	9	415	1072	0	842	120	337	288	117	525	80	963	4396	66	0	485	2399	2438	273	506	58	995	972	10	71	10	300	1341	380	0	134	42	25	133	314	21	223	164	1553	0	409	275	373	4812	63	0	129	319	106	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	
seq6	352	24	4	328	223	552	2435	737	1798	1590	1560	125	996	0	1880	109	86	1839	0	65	0	66	138	30	0	250	0	11	14	4	5129	1443	1170	30	1123	46	15	77	10	45	1009	298	352	281	617	1177	1222	23	0	0	0	0	560	8	25	9764	119	91	20	1235	1563	588	480	2891	867	1069	77	576	10	0	114	1085	88	14	97	2430	1257	421	2	17	0	39	0	11	0	2	41	20	97	78	402	8	108	3123	3025	248	437	816	5	33	143	191	5	4	190	11471	0	363	80	1733	529	1608	8397	452	3704	937	1	42	11789	125	0	204	0	2	0	14	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
seq7	0	4112	1405	0	0	0	4	4	0	0	0	0	0	0	0	0	634	13	0	0	889	12	0	655	0	12	0	16644	0	213	5	0	61	0	0	0	1	2	2279	0	0	1776	0	0	0	0	0	23	0	6	0	0	0	8622	3099	0	0	22270	55	4	0	1838	4	5	30	2	5979	13	1165	0	0	0	0	0	0	31	5	6	259	0	0	0	32	20	0	938	0	5035	0	0	0	0	32	0	0	132	45	7	1436	3	22	158	5251	3523	212	27	38	33	0	0	2242	0	0	0	0	10	0	0	8	0	0	0	0	0	0	651	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	octavius
seq8	212	56	41	72	55	1	2	12	17	22	3	267	35	628	216	24	0	743	11488	210	5	3117	19	133	0	1747	7896	44	22	7	2	0	0	358	756	3006	51	0	0	121	249	14	168	602	801	31	749	596	0	0	0	0	3929	6	27	3868	1107	20	829	327	3350	971	422	913	1783	1531	4	1716	76	246	1537	13	75	4267	234	0	0	25	0	0	1845	0	0	300	0	0	0	2	138	0	707	16	20	0	2	823	758	3823	19	3595	5999	3617	35	15	1	585	0	33	466	665	248	86	417	198	1	2	0	0	254	437	21	489	0	0	0	1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	lactarius/peroris
seq9	82	347	0	283	1909	158	523	1	588	4	17	204	55	119	586	0	28	769	707	2639	0	3274	60	439	0	3737	95	32	32	18	56	275	2366	35	52	53	5	643	9	14	726	48	534	447	195	112	684	1671	58	0	0	224	47	16	25	2663	729	89	6745	1470	866	84	77	464	5630	3801	74	3663	84	13	49	83	30	187	31	493	115	656	74	48	5	52	31	133	0	29	0	29	243	119	1636	4	279	2214	1680	259	56	7	118	502	727	8839	55	58	872	1218	1	211	40	134	1223	1190	1514	255	59	4190	0	938	1998	203	53	120	326	10	0	2	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	acnes/avidum
seq10	2118	16	1	383	606	367	1286	1343	2282	1867	251	971	713	61	258	3427	759	733	897	209	3	822	2556	57	0	917	3259	23	12	0	310	420	220	94	1374	371	28	21	0	69	959	150	958	1239	1843	551	1565	1494	0	0	0	0	28	2	8	17	1919	60	48	1268	736	111	841	1094	959	1312	34	1787	0	157	646	707	1675	798	516	757	122	916	0	0	1133	36	32	204	0	0	0	10	327	168	631	10	470	743	994	3092	542	1098	189	1305	1324	794	5	110	1252	488	0	1082	545	816	570	190	517	183	169	680	0	1955	511	1365	119	364	21	0	23	5	Bacteria	Firmicutes	Bacilli	Staphylococcales	Gemellaceae	Gemella	haemolysans/morbillorum/parahaemolysans/sanguinis/taiwanensis
