#SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Description
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315
SRR12823316	SRR12823316_1.fastq.gz	SRR12823316_2.fastq.gz	Mexico	SRR12823316
SRR12823317	SRR12823317_1.fastq.gz	SRR12823317_2.fastq.gz	Mexico	SRR12823317
SRR12823318	SRR12823318_1.fastq.gz	SRR12823318_2.fastq.gz	USA	SRR12823318
SRR12823319	SRR12823319_1.fastq.gz	SRR12823319_2.fastq.gz	USA	SRR12823319
SRR12823320	SRR12823320_1.fastq.gz	SRR12823320_2.fastq.gz	USA	SRR12823320
SRR12823321	SRR12823321_1.fastq.gz	SRR12823321_2.fastq.gz	USA	SRR12823321
SRR12823322	SRR12823322_1.fastq.gz	SRR12823322_2.fastq.gz	USA	SRR12823322
SRR12823323	SRR12823323_1.fastq.gz	SRR12823323_2.fastq.gz	USA	SRR12823323
SRR12823324	SRR12823324_1.fastq.gz	SRR12823324_2.fastq.gz	USA	SRR12823324
SRR12823325	SRR12823325_1.fastq.gz	SRR12823325_2.fastq.gz	USA	SRR12823325
SRR12823326	SRR12823326_1.fastq.gz	SRR12823326_2.fastq.gz	USA	SRR12823326
SRR12823327	SRR12823327_1.fastq.gz	SRR12823327_2.fastq.gz	USA	SRR12823327
SRR12823328	SRR12823328_1.fastq.gz	SRR12823328_2.fastq.gz	Mexico	SRR12823328
SRR12823329	SRR12823329_1.fastq.gz	SRR12823329_2.fastq.gz	USA	SRR12823329
SRR12823330	SRR12823330_1.fastq.gz	SRR12823330_2.fastq.gz	USA	SRR12823330
SRR12823331	SRR12823331_1.fastq.gz	SRR12823331_2.fastq.gz	USA	SRR12823331
SRR12823332	SRR12823332_1.fastq.gz	SRR12823332_2.fastq.gz	USA	SRR12823332
SRR12823333	SRR12823333_1.fastq.gz	SRR12823333_2.fastq.gz	USA	SRR12823333
SRR12823334	SRR12823334_1.fastq.gz	SRR12823334_2.fastq.gz	USA	SRR12823334
SRR12823335	SRR12823335_1.fastq.gz	SRR12823335_2.fastq.gz	USA	SRR12823335
SRR12823336	SRR12823336_1.fastq.gz	SRR12823336_2.fastq.gz	USA	SRR12823336
SRR12823337	SRR12823337_1.fastq.gz	SRR12823337_2.fastq.gz	USA	SRR12823337
SRR12823338	SRR12823338_1.fastq.gz	SRR12823338_2.fastq.gz	USA	SRR12823338
SRR12823339	SRR12823339_1.fastq.gz	SRR12823339_2.fastq.gz	Mexico	SRR12823339
SRR12823340	SRR12823340_1.fastq.gz	SRR12823340_2.fastq.gz	USA	SRR12823340
SRR12823341	SRR12823341_1.fastq.gz	SRR12823341_2.fastq.gz	USA	SRR12823341
SRR12823342	SRR12823342_1.fastq.gz	SRR12823342_2.fastq.gz	USA	SRR12823342
SRR12823343	SRR12823343_1.fastq.gz	SRR12823343_2.fastq.gz	Mexico	SRR12823343
SRR12823344	SRR12823344_1.fastq.gz	SRR12823344_2.fastq.gz	Mexico	SRR12823344
SRR12823345	SRR12823345_1.fastq.gz	SRR12823345_2.fastq.gz	Mexico	SRR12823345
SRR12823346	SRR12823346_1.fastq.gz	SRR12823346_2.fastq.gz	Mexico	SRR12823346
SRR12823347	SRR12823347_1.fastq.gz	SRR12823347_2.fastq.gz	Mexico	SRR12823347
SRR12823348	SRR12823348_1.fastq.gz	SRR12823348_2.fastq.gz	Mexico	SRR12823348
SRR12823349	SRR12823349_1.fastq.gz	SRR12823349_2.fastq.gz	Mexico	SRR12823349
SRR12823350	SRR12823350_1.fastq.gz	SRR12823350_2.fastq.gz	Mexico	SRR12823350
SRR12823351	SRR12823351_1.fastq.gz	SRR12823351_2.fastq.gz	Mexico	SRR12823351
SRR12823352	SRR12823352_1.fastq.gz	SRR12823352_2.fastq.gz	Mexico	SRR12823352
SRR12823353	SRR12823353_1.fastq.gz	SRR12823353_2.fastq.gz	Mexico	SRR12823353
SRR12823354	SRR12823354_1.fastq.gz	SRR12823354_2.fastq.gz	Mexico	SRR12823354
SRR12823355	SRR12823355_1.fastq.gz	SRR12823355_2.fastq.gz	USA	SRR12823355
