SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Description	RawReads	Reads	Shannon	Chao1	ACE
SRR12823316	SRR12823316_1.fastq.gz	SRR12823316_2.fastq.gz	Mexico	SRR12823316	13530	13530	2.73319591295196	158.875	159.085351245464
SRR12823317	SRR12823317_1.fastq.gz	SRR12823317_2.fastq.gz	Mexico	SRR12823317	13530	13530	2.09589250854046	108.714285714286	112.862376361588
SRR12823328	SRR12823328_1.fastq.gz	SRR12823328_2.fastq.gz	Mexico	SRR12823328	13530	13530	1.80410445076293	66.75	69.0874827346749
SRR12823343	SRR12823343_1.fastq.gz	SRR12823343_2.fastq.gz	Mexico	SRR12823343	13530	13530	4.98136628380107	695.986486486486	697.038472879224
SRR12823344	SRR12823344_1.fastq.gz	SRR12823344_2.fastq.gz	Mexico	SRR12823344	13530	13530	1.02168714849612	153.682926829268	165.135940922461
SRR12823345	SRR12823345_1.fastq.gz	SRR12823345_2.fastq.gz	Mexico	SRR12823345	13530	13530	3.79115417212301	812.5	830.114635744759
SRR12823346	SRR12823346_1.fastq.gz	SRR12823346_2.fastq.gz	Mexico	SRR12823346	13530	13530	5.34741024128551	678.127659574468	668.340184375327
SRR12823347	SRR12823347_1.fastq.gz	SRR12823347_2.fastq.gz	Mexico	SRR12823347	13530	13530	5.65989222868433	1272.18652849741	1280.71692006718
SRR12823348	SRR12823348_1.fastq.gz	SRR12823348_2.fastq.gz	Mexico	SRR12823348	13530	13530	5.79358657644678	1310.3	1329.96291855674
SRR12823349	SRR12823349_1.fastq.gz	SRR12823349_2.fastq.gz	Mexico	SRR12823349	13530	13530	3.80256525657872	217.333333333333	227.552979482682
SRR12823350	SRR12823350_1.fastq.gz	SRR12823350_2.fastq.gz	Mexico	SRR12823350	13530	13530	4.35685792964961	596.325	597.700962744912
SRR12823351	SRR12823351_1.fastq.gz	SRR12823351_2.fastq.gz	Mexico	SRR12823351	13530	13530	2.6242766558411	597.082568807339	615.253257583276
SRR12823352	SRR12823352_1.fastq.gz	SRR12823352_2.fastq.gz	Mexico	SRR12823352	13530	13530	1.22999237198636	56.8571428571429	56.5532755242396
SRR12823353	SRR12823353_1.fastq.gz	SRR12823353_2.fastq.gz	Mexico	SRR12823353	13530	13530	1.80682115845159	39	39.3847438556126
SRR12823354	SRR12823354_1.fastq.gz	SRR12823354_2.fastq.gz	Mexico	SRR12823354	13530	13530	6.35845383000228	1854.05211726384	1877.07020086833
