SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	Description	Reads	Species
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	30001	187.514118335076
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	37001	190.639562516208
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	28001	186.306224707997
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	38001	190.981024833962
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	29001	186.931940657974
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	39001	191.302370369288
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	19001	177.853624537959
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	42001	192.161474156105
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	22001	181.373984955483
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	40001	191.605240959268
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	23001	182.364977222483
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	20001	179.128500328341
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	21001	180.298314160771
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	4001	125.491624522722
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	44001	192.660389926498
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	41001	191.891146325817
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	25001	184.124921066174
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	43001	192.417498964384
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	36001	190.276197924647
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	1001	79.2004894417878
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	2001	101.052266800846
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	3001	115.111168374448
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	27001	185.632912570607
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	5001	133.67109884167
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	6001	140.366213158827
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	9001	154.930336997572
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	35001	189.888988617498
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	31001	188.056421692262
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	32001	188.562171249216
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	33001	189.034386224336
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	24001	183.279543542819
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	1	1.00000000000008
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	18001	176.461012312332
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	16001	173.260742302649
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	45001	192.891217838082
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	7001	145.984188615535
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	26001	184.90749159246
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	10001	158.555588202605
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	15001	171.415036777924
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	45490	193
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	17001	174.935856725555
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	14001	169.374103298047
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	13001	167.108262794252
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	11001	161.749033284791
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	34001	189.475819780347
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	8001	150.78113717839
SRR12823315	SRR12823315_1.fastq.gz	SRR12823315_2.fastq.gz	USA	SRR12823315	12001	164.581398813418
			USA	SRR12823315		
SRR12823316	SRR12823316_1.fastq.gz	SRR12823316_2.fastq.gz	Mexico	SRR12823316	6001	134.6574016843
SRR12823316	SRR12823316_1.fastq.gz	SRR12823316_2.fastq.gz	Mexico	SRR12823316	7001	138.969535794855
SRR12823316	SRR12823316_1.fastq.gz	SRR12823316_2.fastq.gz	Mexico	SRR12823316	8001	142.358908215128
