taxon	SRR12823316	SRR12823317	SRR12823328	SRR12823343	SRR12823344	SRR12823345	SRR12823346	SRR12823347	SRR12823348	SRR12823349	SRR12823350	SRR12823351	SRR12823352	SRR12823353	SRR12823354	SRR12823362	SRR12823373	SRR12823383	SRR12823385	SRR12823386	SRR12823387	SRR12823388	SRR12823389	SRR12823390	SRR12823391	SRR12823392	SRR12823393	SRR12823394	SRR12823395	SRR12823396	SRR12823397	SRR12823398	SRR12823399	SRR12823400	SRR12823402	SRR12823403	SRR12823404	SRR12823405	SRR12823407	SRR12823408	SRR12823410	SRR12823411	SRR12823412	SRR12823430	SRR12823431	SRR12823433	SRR12823434	SRR12823435	SRR12823436	SRR12823437	SRR12823438	SRR12823439	SRR12823440	SRR12823441	SRR12823315	SRR12823318	SRR12823319	SRR12823320	SRR12823321	SRR12823322	SRR12823323	SRR12823324	SRR12823325	SRR12823326	SRR12823327	SRR12823329	SRR12823330	SRR12823331	SRR12823332	SRR12823333	SRR12823334	SRR12823335	SRR12823336	SRR12823337	SRR12823338	SRR12823340	SRR12823341	SRR12823342	SRR12823355	SRR12823356	SRR12823357	SRR12823358	SRR12823359	SRR12823360	SRR12823361	SRR12823363	SRR12823364	SRR12823365	SRR12823366	SRR12823367	SRR12823368	SRR12823369	SRR12823370	SRR12823371	SRR12823372	SRR12823374	SRR12823375	SRR12823376	SRR12823377	SRR12823378	SRR12823379	SRR12823380	SRR12823381	SRR12823382	SRR12823401	SRR12823409	SRR12823413	SRR12823414	SRR12823415	SRR12823416	SRR12823417	SRR12823418	SRR12823419	SRR12823420	SRR12823423	SRR12823424	SRR12823425	SRR12823426	SRR12823427	SRR12823428	SRR12823429	Kingdom	Phylum	Class	Order	Family	Genus	Species
Staphylococcus argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/saprophyticus/schweitzeri/simiae/warneri	9748	11785	101	2821	28729	148	811	620	89	640	30	76	26507	271	270	1632	1857	20574	9816	517	1849	309	849	10386	117	16082	4513	23144	207	35126	16322	6678	34594	35303	12329	652	2197	668	1241	4542	1082	12106	201	207	1682	759	1854	180	133	1199	17049	36069	38098	24607	533	20011	412	25992	594	259	378	288	28290	98	125	713	302	3918	542	2611	18611	263	686	186	21107	1108	233	10531	308	12399	20176	421	521	331	766	377	4	0	5	47	5307	11842	100	150	7599	242	766	15430	736	233	2810	1183	11730	1156	26571	1107	20728	374	274	827	584	24783	1841	2365	2567	245	127	22574	695	370	30474	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/saprophyticus/schweitzeri/simiae/warneri
Streptococcus anginosus/infantis/mitis/oralis/pneumoniae/pseudopneumoniae/timonensis	285	0	2568	26	10	1312	1950	1713	551	3135	3140	189	221	12	541	4624	3556	84	4732	2412	30628	6281	1552	2260	324	10693	13	69	17779	9	347	1515	25	6	124	1715	978	3382	1878	2708	4659	2678	5181	719	3412	20580	1545	1454	1326	1600	232	11	43	32	15271	2257	7014	324	1913	8953	2894	8742	1421	11203	4085	3356	6230	2723	10773	5140	1457	12	12648	6077	2788	5760	3368	106	6406	465	4342	8191	3942	3687	3425	0	0	8	0	9131	40	30	7994	13849	245	8423	5700	450	9238	7135	7003	9821	206	11373	14	1994	532	1984	376	587	17	746	5815	1832	4806	3925	11495	2816	814	6325	1156	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus/infantis/mitis/oralis/pneumoniae/pseudopneumoniae/timonensis
Streptococcus anginosus/cristatus/mitis/oralis/pneumoniae/pseudopneumoniae/sanguinis	146	13	1855	38	1	522	1114	373	397	4220	1443	58	11	0	243	2888	1854	100	5662	519	6362	3187	691	453	302	2054	0	71	3203	0	63	889	0	5	57	891	113	1978	1125	375	17141	2315	4534	667	1340	2284	1009	4672	359	736	93	0	46	47	2580	599	1862	617	2927	1908	3508	1852	227	1971	2372	222	1786	399	2319	12809	514	4	8158	1913	686	1867	11997	156	4315	1248	1349	2089	1366	1246	5586	0	8	0	0	5528	15	21	6769	4034	172	2867	1456	101	1203	2390	3943	2251	122	5919	0	878	519	5863	17444	5801	37	274	2983	659	1109	4255	1195	642	2010	323	86	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus/cristatus/mitis/oralis/pneumoniae/pseudopneumoniae/sanguinis
Corynebacterium aurimucosum/pseudogenitalium/tuberculostearicum	2897	4683	14	10	1605	4	20	41	36	139	9	13	17563	102	25	109	131	1194	33	33	133	15	71	1017	2	136	16936	212	21	2461	19403	2985	3165	8806	8489	93	41	37	186	108	92	1066	10	8	16	22	68	0	4	68	82	9937	4361	16306	32	113	83	68	153	55	10	24	1223	2	25	27	2	95	59	163	428	21	70	14	5000	169	11	1660	23	7395	3332	25	13	36	12	370	2	0	110	6	161	484	16	6	4161	13	22	1211	32	63	702	98	2588	143	8285	73	2079	41	18	119	176	863	299	177	293	20	10	405	28	42	32	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium aurimucosum/pseudogenitalium/tuberculostearicum
Chloroplast Order	354	0	6392	184	10	780	3040	4045	907	18	429	126	5	8	1525	1338	2622	109	4	20460	5	382	658	50	1167	115	0	497	28	0	9	6390	29	5	18	519	13432	15422	630	52	2512	2676	102	299	675	287	29	278	970	339	0	0	40	0	138	749	27	366	6893	150	1196	207	1623	159	5064	9426	34	53	1611	138	170	0	272	2194	39	351	57	8	314	82	428	265	791	3162	48	208	0	0	0	92	12	467	14720	190	1	39	3009	1356	200	217	218	9609	0	56	43	1049	223	78	38	1345	0	47	118	1883	43	11	49	230	96	234	349	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast			Chloroplast Order
Streptococcus Genus	24	4	2	14	4	5149	1443	1204	49	1132	55	15	77	10	45	53	20	12	115	1096	92	187	98	2434	1257	677	3	17	0	39	0	45	0	2	29	102	78	522	145	3145	257	441	816	3711	951	89	11789	132	0	204	0	2	0	14	361	328	223	552	2643	737	1913	1604	1560	126	1017	1891	741	272	1839	1416	179	3	1114	913	38	357	2000	47	1049	318	368	281	623	1189	1373	0	0	0	0	636	8	25	10045	121	101	1235	1905	616	510	2926	1637	1551	99	849	41	3100	22	1272	146	262	5	45	983	11475	975	109	2053	530	1609	8548	502	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus Genus
Escherichia-Shigella Genus	401	0	0	885	232	53	950	194	129	139	994	11	36	0	272	193	60	1537	71	37	34	59	1503	1042	64	9	415	1072	0	842	120	337	288	117	80	963	4396	66	485	2495	277	506	58	164	1553	409	275	373	4873	63	0	129	319	106	106	1146	56	811	1408	40	378	16	312	93	432	323	20	31	135	12	377	0	561	491	858	351	14	647	0	105	2241	285	0	0	0	2714	16615	21798	18975	25	7	36	166	139	352	616	1744	442	37	10	46	18	6	40	525	2438	995	972	10	71	10	300	1361	380	134	42	25	133	314	21	223	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia-Shigella	Escherichia-Shigella Genus
Anaerococcus octavius	4112	1405	0	0	213	5	0	61	0	0	0	1	2	2279	0	23	55	1165	0	0	0	0	0	31	5	6	259	0	0	0	32	20	0	938	5035	0	0	0	32	0	132	45	7	0	10	0	8	0	0	0	0	0	0	651	0	0	0	0	4	4	0	0	0	0	0	0	0	634	13	0	0	889	12	0	655	12	0	16644	0	1776	0	0	0	0	0	0	6	0	0	0	8622	3099	0	0	22270	4	0	1838	4	5	30	2	5979	13	0	0	1436	3	22	158	5251	3523	212	27	33	0	0	2242	0	0	0	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Family XI	Anaerococcus	Anaerococcus octavius
Streptococcus lactarius/peroris	56	41	628	22	7	2	0	0	358	756	3006	51	0	0	121	596	829	76	1537	13	75	4267	234	0	0	25	0	0	1845	0	0	300	0	0	2	138	0	707	20	0	823	758	3823	1	2	0	254	437	21	489	0	0	0	1	212	72	55	1	2	12	17	22	3	267	35	216	24	0	743	11488	210	5	3117	19	133	1747	7896	44	249	14	168	602	801	31	749	0	0	0	0	3929	6	27	3868	1107	20	327	3350	971	422	913	1783	1531	4	1716	0	2	19	3595	5999	3617	35	15	1	585	33	466	665	248	86	417	198	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lactarius/peroris
Cutibacterium acnes/avidum	347	0	119	32	18	56	275	2366	35	52	53	5	643	9	14	1671	6745	84	49	83	30	187	31	493	115	656	74	48	5	52	31	133	0	29	29	243	119	1636	279	2214	259	56	7	59	4190	938	1998	203	53	120	326	10	0	2	82	283	1909	158	523	1	588	4	17	204	55	586	0	28	769	707	2639	0	3274	60	439	3737	95	32	726	48	534	447	195	112	684	58	0	0	224	47	16	25	2663	729	89	1470	866	84	77	464	5630	3801	74	3663	0	1680	118	502	727	8839	55	58	872	1218	211	40	134	1223	1190	1514	255	Bacteria	Actinobacteriota	Actinobacteria	Propionibacteriales	Propionibacteriaceae	Cutibacterium	Cutibacterium acnes/avidum
