Feature ID	Taxon
seq1	Bacteria; Firmicutes; Bacilli; Staphylococcales; Staphylococcaceae; Staphylococcus; argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/saprophyticus/schweitzeri/simiae/warneri
seq2	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; anginosus/infantis/mitis/oralis/pneumoniae/pseudopneumoniae/timonensis
seq3	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; anginosus/cristatus/mitis/oralis/pneumoniae/pseudopneumoniae/sanguinis
seq4	Bacteria; Actinobacteriota; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium; aurimucosum/pseudogenitalium/tuberculostearicum
seq5	Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia-Shigella; none
seq6	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; none
seq7	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; octavius
seq8	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; lactarius/peroris
seq9	Bacteria; Actinobacteriota; Actinobacteria; Propionibacteriales; Propionibacteriaceae; Cutibacterium; acnes/avidum
seq10	Bacteria; Firmicutes; Bacilli; Staphylococcales; Gemellaceae; Gemella; haemolysans/morbillorum/parahaemolysans/sanguinis/taiwanensis
seq11	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq12	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; nagyae
seq13	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; Neisseria; flavescens/lactamica/meningitidis/mucosa/perflava/sicca/subflava
seq14	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; salivarius/thermophilus
seq15	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; elegans
seq16	Bacteria; Firmicutes; Bacilli; Lactobacillales; Carnobacteriaceae; Granulicatella; adiacens/para-adiacens
seq17	Bacteria; Cyanobacteria; Cyanobacteriia; Chloroplast; none; none; none
seq18	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; salivarius
seq19	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Veillonella; atypica/dispar
seq20	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; senegalensis
seq21	Bacteria; Firmicutes; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; australis/mitis/oralis/parasanguinis/pneumoniae/rubneri/sanguinis
seq22	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Finegoldia; magna
seq23	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; none
seq24	Bacteria; Firmicutes; Negativicutes; Veillonellales-Selenomonadales; Veillonellaceae; Veillonella; massiliensis
seq25	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; Neisseria; flava/lactamica/macacae/meningitidis/mucosa/perflava/sicca
seq26	Bacteria; Firmicutes; Bacilli; Lactobacillales; Lactobacillaceae; Lactobacillus; delbrueckii/equicursoris
seq27	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Prevotellaceae; Prevotella_7; melaninogenica
seq28	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; pasteri
seq29	Bacteria; Firmicutes; Clostridia; Peptostreptococcales-Tissierellales; Family XI; Anaerococcus; none
seq30	Bacteria; Fusobacteriota; Fusobacteriia; Fusobacteriales; Fusobacteriaceae; Fusobacterium; periodonticum
seq31	Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Bergeyella; none
seq32	Bacteria; Proteobacteria; Gammaproteobacteria; Burkholderiales; Neisseriaceae; Neisseria; cinerea/meningitidis/subflava
seq33	Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Porphyromonadaceae; Porphyromonas; none
