	Tier1	Tier2	Tier3	Tier4	S1	S28	S6
PWY1	Cellular Processes	Cell growth and death	Apoptosis	Apoptosis	23.9545454545455	80	9.66666666666667
PWY2	Cellular Processes	Cell growth and death	Apoptosis - fly	Apoptosis - fly	37.6025641025641	28.5865384615385	13.1515151515152
PWY3	Cellular Processes	Cell growth and death	Cell cycle - Caulobacter	Cell cycle - Caulobacter	24.1734819201649	30.5143385023585	29.8066425034297
PWY4	Cellular Processes	Cell growth and death	Meiosis - yeast	Meiosis - yeast	29.2	31.7875	0
PWY5	Cellular Processes	Cell growth and death	Oocyte meiosis	Oocyte meiosis	0	0	5
PWY6	Cellular Processes	Cell motility	Bacterial chemotaxis	Bacterial chemotaxis	23.9133805239014	21.0812186379928	23.3350827099334
PWY7	Cellular Processes	Cell motility	Flagellar assembly	Flagellar assembly	30.0523282862005	21.1200452803901	30.4239480579367
PWY8	Cellular Processes	Cellular community - eukaryotes	Signaling pathways regulating pluripotency of stem cells	Signaling pathways regulating pluripotency of stem cells	0	0	12.75
PWY9	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli	Biofilm formation - Escherichia coli	24.9723493843334	26.5904153387757	30.0866021226973
PWY10	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa	Biofilm formation - Pseudomonas aeruginosa	28.5180544957988	22.4366612554113	22.9686490574191
PWY11	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae	Biofilm formation - Vibrio cholerae	26.0558071577355	30.578089710809	26.7835881789519
PWY12	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	Quorum sensing	23.751671379893	39.0058009585769	27.3659173354312
PWY13	Cellular Processes	Transport and catabolism	Autophagy - yeast	Autophagy - yeast	29.8666666666667	26.2857142857143	30.0909090909091
PWY14	Cellular Processes	Transport and catabolism	Endocytosis	Endocytosis	2	0	0
PWY15	Cellular Processes	Transport and catabolism	Lysosome	Lysosome	0	21.2797868643505	0
PWY16	Cellular Processes	Transport and catabolism	Peroxisome	Peroxisome	32.7503654466975	0	0
PWY17	Environmental Information Processing	Membrane transport	ABC transporters	ABC transporters	22.4911834622165	31.7073674455234	29.4838470774867
PWY18	Environmental Information Processing	Membrane transport	Bacterial secretion system	Bacterial secretion system	41.6598822151485	29.2332698567281	26.9258404474831
PWY19	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	Phosphotransferase system (PTS)	14.2261683759514	40.9645890904124	25.9515159288659
PWY20	Environmental Information Processing	Signal transduction	Calcium signaling pathway	Calcium signaling pathway	31.5	0	0
PWY21	Environmental Information Processing	Signal transduction	Two-component system	Two-component system	23.5032017378703	35.0938463038615	23.3445462171291
PWY22	Genetic Information Processing	Folding, sorting and degradation	Proteasome	Proteasome	0	12.3212121212121	5
PWY23	Genetic Information Processing	Folding, sorting and degradation	Protein export	Protein export	26.5657618445881	35.3615701393178	34.2996205238551
PWY24	Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum	Protein processing in endoplasmic reticulum	15.493031358885	32.0294117647059	11.0128205128205
PWY25	Genetic Information Processing	Folding, sorting and degradation	RNA degradation	RNA degradation	24.8041839372755	31.3707294489057	26.3217407540811
PWY26	Genetic Information Processing	Folding, sorting and degradation	Sulfur relay system	Sulfur relay system	23.0597184070487	28.5544816008029	19.8134285540813
PWY27	Genetic Information Processing	Replication and repair	Base excision repair	Base excision repair	24.014151589777	27.3118631963084	25.3975731858078
PWY28	Genetic Information Processing	Replication and repair	DNA replication	DNA replication	22.4273522231377	30.1940083671711	23.9188612931586
PWY29	Genetic Information Processing	Replication and repair	Homologous recombination	Homologous recombination	24.3471802859886	28.8909027698519	26.8540665378071
PWY30	Genetic Information Processing	Replication and repair	Mismatch repair	Mismatch repair	21.179823157778	27.4528498879626	24.5992429216742
PWY31	Genetic Information Processing	Replication and repair	Non-homologous end-joining	Non-homologous end-joining	33.7318181818182	13.7291666666667	6
PWY32	Genetic Information Processing	Replication and repair	Nucleotide excision repair	Nucleotide excision repair	19.4332747539534	25.5347969399894	22.9854055153884
PWY33	Genetic Information Processing	Transcription	RNA polymerase	RNA polymerase	20.5098531303857	46.583435665933	32.3343445862091
PWY34	Genetic Information Processing	Transcription	Spliceosome	Spliceosome	30	0	0
PWY35	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	23.625059956384	29.0191770147277	29.5002888602788
PWY36	Genetic Information Processing	Translation	Nucleocytoplasmic transport	Nucleocytoplasmic transport	0	0	22
PWY37	Genetic Information Processing	Translation	Ribosome	Ribosome	31.0591972680509	51.3051333590094	49.4308345056022
PWY38	Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes	Ribosome biogenesis in eukaryotes	34.5625	26.9243386243386	34.7660256410256
PWY39	Human Diseases	Cancer: overview	Chemical carcinogenesis - DNA adducts	Chemical carcinogenesis - DNA adducts	36.4696202531646	0	0
PWY40	Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species	Chemical carcinogenesis - reactive oxygen species	28.7282786152842	32.2587723499361	29.8164918414918
PWY41	Human Diseases	Cancer: overview	MicroRNAs in cancer	MicroRNAs in cancer	11.2959595959596	0	0
PWY42	Human Diseases	Cancer: specific types	Breast cancer	Breast cancer	0	0	9
PWY43	Human Diseases	Cardiovascular disease	Hypertrophic cardiomyopathy	Hypertrophic cardiomyopathy	24	0	0
PWY44	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance	beta-Lactam resistance	20.8927749228205	51.2050314749784	22.2463442675255
PWY45	Human Diseases	Drug resistance: antimicrobial	Cationic antimicrobial peptide (CAMP) resistance	Cationic antimicrobial peptide (CAMP) resistance	20.0889180923373	52.4772013956916	25.8927894202569
