	S1	S28	S6	allTiers
PWY1	32.7380952380952	89.375	8.86666666666667	Cellular Processes; Cell growth and death; Apoptosis; Apoptosis
PWY2	37.2692307692308	28.5865384615385	12.4904761904762	Cellular Processes; Cell growth and death; Apoptosis - fly; Apoptosis - fly
PWY3	24.9373728623399	29.9290276212564	30.398184352986	Cellular Processes; Cell growth and death; Cell cycle - Caulobacter; Cell cycle - Caulobacter
PWY4	29.4833333333333	32.6	0	Cellular Processes; Cell growth and death; Meiosis - yeast; Meiosis - yeast
PWY5	23.1100597934217	20.496747311828	23.3453581031952	Cellular Processes; Cell motility; Bacterial chemotaxis; Bacterial chemotaxis
PWY6	29.9408698622894	21.7204939121486	30.4172004415367	Cellular Processes; Cell motility; Flagellar assembly; Flagellar assembly
PWY7	0	0	13.5	Cellular Processes; Cellular community - eukaryotes; Signaling pathways regulating pluripotency of stem cells; Signaling pathways regulating pluripotency of stem cells
PWY8	24.9613304324126	27.2830729656817	29.625066371067	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli; Biofilm formation - Escherichia coli
PWY9	26.9399663821548	23.4395288087017	24.2001715024741	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Pseudomonas aeruginosa; Biofilm formation - Pseudomonas aeruginosa
PWY10	26.4983007528545	31.1269743985261	26.1284533541356	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae; Biofilm formation - Vibrio cholerae
PWY11	22.9052675711343	39.5248386603818	27.1717982659449	Cellular Processes; Cellular community - prokaryotes; Quorum sensing; Quorum sensing
PWY12	30	26	27.5833333333333	Cellular Processes; Transport and catabolism; Autophagy - yeast; Autophagy - yeast
PWY13	2	0	0	Cellular Processes; Transport and catabolism; Endocytosis; Endocytosis
PWY14	0	21.2392636684303	0	Cellular Processes; Transport and catabolism; Lysosome; Lysosome
PWY15	32.9380639916302	29.4505495778584	20.8841620177345	Cellular Processes; Transport and catabolism; Peroxisome; Peroxisome
PWY16	22.8006957702236	31.6519489749949	28.5818191585332	Environmental Information Processing; Membrane transport; ABC transporters; ABC transporters
PWY17	41.269268705376	29.6902158320148	27.7940703026978	Environmental Information Processing; Membrane transport; Bacterial secretion system; Bacterial secretion system
PWY18	13.6906569624581	41.2460182757004	25.2261610321634	Environmental Information Processing; Membrane transport; Phosphotransferase system (PTS); Phosphotransferase system (PTS)
PWY19	31.5	0	0	Environmental Information Processing; Signal transduction; Calcium signaling pathway; Calcium signaling pathway
PWY20	28	0	0	Environmental Information Processing; Signal transduction; MAPK signaling pathway; MAPK signaling pathway
PWY21	38.7916666666667	69.68	44.28	Environmental Information Processing; Signal transduction; MAPK signaling pathway - fly; MAPK signaling pathway - fly
PWY22	0	19.1217532467532	14.9858594657375	Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway; PI3K-Akt signaling pathway
PWY23	23.5967183585996	35.1041188403634	24.4862777741111	Environmental Information Processing; Signal transduction; Two-component system; Two-component system
PWY24	19.5	14.25	12.5	Environmental Information Processing; Signaling molecules and interaction; Neuroactive ligand-receptor interaction; Neuroactive ligand-receptor interaction
PWY25	0	12.4989898989899	5	Genetic Information Processing; Folding, sorting and degradation; Proteasome; Proteasome
PWY26	26.6730498626701	36.4643996515777	35.015752459104	Genetic Information Processing; Folding, sorting and degradation; Protein export; Protein export
PWY27	15.5702671312427	37.975	14.7859078590786	Genetic Information Processing; Folding, sorting and degradation; Protein processing in endoplasmic reticulum; Protein processing in endoplasmic reticulum
PWY28	24.072615302466	31.3588314851425	26.3109673507269	Genetic Information Processing; Folding, sorting and degradation; RNA degradation; RNA degradation
PWY29	23.9451642696572	29.1050946956471	19.6220668220668	Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system; Sulfur relay system
PWY30	25.0902487902348	27.5736209594748	25.6993249699762	Genetic Information Processing; Replication and repair; Base excision repair; Base excision repair
PWY31	22.2085764018729	30.7554783941424	24.8145876665948	Genetic Information Processing; Replication and repair; DNA replication; DNA replication
PWY32	23.4480318255648	29.250719754382	27.3964230280478	Genetic Information Processing; Replication and repair; Homologous recombination; Homologous recombination
PWY33	21.0405567683081	27.9970694159139	25.3386362051584	Genetic Information Processing; Replication and repair; Mismatch repair; Mismatch repair
PWY34	34.0428571428571	13.5952380952381	6	Genetic Information Processing; Replication and repair; Non-homologous end-joining; Non-homologous end-joining
PWY35	19.6522158206162	25.7194736145836	22.6589914431289	Genetic Information Processing; Replication and repair; Nucleotide excision repair; Nucleotide excision repair
PWY36	16.0606060606061	21.6	7	Genetic Information Processing; Transcription; Basal transcription factors; Basal transcription factors
PWY37	29.7526210160556	48.058878968254	32.1997738056902	Genetic Information Processing; Transcription; RNA polymerase; RNA polymerase
PWY38	23.7531214579032	29.2004249374461	29.5737316104729	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis; Aminoacyl-tRNA biosynthesis
PWY39	30.5161254433863	51.2979193316717	49.5021638787183	Genetic Information Processing; Translation; Ribosome; Ribosome
PWY40	35.19	26.084126984127	35.0855263157895	Genetic Information Processing; Translation; Ribosome biogenesis in eukaryotes; Ribosome biogenesis in eukaryotes
PWY41	25.9126984126984	0	0	Human Diseases; Cancer: overview; Chemical carcinogenesis - DNA adducts; Chemical carcinogenesis - DNA adducts
PWY42	36.282643976394	31.640153256705	31.4197143623955	Human Diseases; Cancer: overview; Chemical carcinogenesis - reactive oxygen species; Chemical carcinogenesis - reactive oxygen species
PWY43	21	0	0	Human Diseases; Cardiovascular disease; Hypertrophic cardiomyopathy; Hypertrophic cardiomyopathy
PWY44	21.5295808391315	48.622741231126	21.5423467285166	Human Diseases; Drug resistance: antimicrobial; beta-Lactam resistance; beta-Lactam resistance
PWY45	19.9536762922572	53.8490405929753	26.6509770134759	Human Diseases; Drug resistance: antimicrobial; Cationic antimicrobial peptide (CAMP) resistance; Cationic antimicrobial peptide (CAMP) resistance
PWY46	18.1824031069872	24.2244234569488	21.1605713894912	Human Diseases; Drug resistance: antimicrobial; Vancomycin resistance; Vancomycin resistance
PWY47	38.0108645399908	28.3825757575758	17.0291840712893	Human Diseases; Drug resistance: antineoplastic; Platinum drug resistance; Platinum drug resistance
PWY48	19.4704798710344	0	0	Human Diseases; Endocrine and metabolic disease; Insulin resistance; Insulin resistance
PWY49	7.65882352941177	37.2338899196042	78.6868421052632	Human Diseases; Infectious disease: bacterial; Bacterial invasion of epithelial cells; Bacterial invasion of epithelial cells
PWY50	45.8779569892473	32.6266109369558	14.3192174913694	Human Diseases; Infectious disease: bacterial; Epithelial cell signaling in Helicobacter pylori infection; Epithelial cell signaling in Helicobacter pylori infection
PWY51	23.7322110812894	31.6911190424295	22.9511182531658	Human Diseases; Infectious disease: bacterial; Legionellosis; Legionellosis
PWY52	28.5157894736842	0	0	Human Diseases; Infectious disease: bacterial; Pathogenic Escherichia coli infection; Pathogenic Escherichia coli infection
PWY53	55.8319449465009	21.9857142857143	40.5187969924812	Human Diseases; Infectious disease: bacterial; Pertussis; Pertussis
PWY54	37.6741029874313	0	31.0621438217727	Human Diseases; Infectious disease: bacterial; Salmonella infection; Salmonella infection
PWY55	38.9313172043011	0	28.7739130434783	Human Diseases; Infectious disease: bacterial; Shigellosis; Shigellosis
PWY56	21.2954395604396	117.604547206156	57.0104497354497	Human Diseases; Infectious disease: bacterial; Staphylococcus aureus infection; Staphylococcus aureus infection
PWY57	28.301672564187	27.1386031192483	0	Human Diseases; Infectious disease: bacterial; Tuberculosis; Tuberculosis
PWY58	13.8	0	18.6	Human Diseases; Infectious disease: bacterial; Vibrio cholerae infection; Vibrio cholerae infection
PWY59	9.375	23.2142857142857	0	Human Diseases; Infectious disease: parasitic; African trypanosomiasis; African trypanosomiasis
PWY60	21.2152777777778	34.6950046904315	15.5803921568627	Human Diseases; Infectious disease: parasitic; Amoebiasis; Amoebiasis
PWY61	9	19	8.36363636363636	Human Diseases; Infectious disease: parasitic; Chagas disease; Chagas disease
PWY62	0	0	12.2	Human Diseases; Infectious disease: viral; Hepatitis C; Hepatitis C
PWY63	28.0454545454545	17.8	18.0333333333333	Human Diseases; Neurodegenerative disease; Spinocerebellar ataxia; Spinocerebellar ataxia
PWY64	23.8836446538789	27.9160964507247	24.9437910534649	Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism; Alanine, aspartate and glutamate metabolism
PWY65	23.5558193397938	28.7006639654561	21.791443963916	Metabolism; Amino acid metabolism; Arginine and proline metabolism; Arginine and proline metabolism
PWY66	24.1799145440875	32.4299666960995	23.7291996107336	Metabolism; Amino acid metabolism; Arginine biosynthesis; Arginine biosynthesis
PWY67	22.3623737294802	31.0729989043661	26.473191194136	Metabolism; Amino acid metabolism; Cysteine and methionine metabolism; Cysteine and methionine metabolism
PWY68	30.7355814347665	29.7922129393401	23.4304596208421	Metabolism; Amino acid metabolism; Glycine, serine and threonine metabolism; Glycine, serine and threonine metabolism
PWY69	24.0370749480036	29.0860634127008	22.6255171599874	Metabolism; Amino acid metabolism; Histidine metabolism; Histidine metabolism
PWY70	21.1111656769353	28.7651364300661	25.9631499081808	Metabolism; Amino acid metabolism; Lysine biosynthesis; Lysine biosynthesis
PWY71	25.7009230351109	28.2035054753055	16.4654016057727	Metabolism; Amino acid metabolism; Lysine degradation; Lysine degradation
PWY72	27.5909047145952	22.3720636514136	23.1498684823239	Metabolism; Amino acid metabolism; Phenylalanine metabolism; Phenylalanine metabolism
PWY73	21.1487484119353	32.1050178639956	27.6504829627195	Metabolism; Amino acid metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Phenylalanine, tyrosine and tryptophan biosynthesis
PWY74	30.8981109058316	26.1923234676696	22.430999405483	Metabolism; Amino acid metabolism; Tryptophan metabolism; Tryptophan metabolism
PWY75	25.2391774061023	26.334485222727	19.1481072035724	Metabolism; Amino acid metabolism; Tyrosine metabolism; Tyrosine metabolism
PWY76	21.5211286329392	30.8185962544774	28.3850857600755	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine biosynthesis; Valine, leucine and isoleucine biosynthesis
PWY77	35.89600196426	25.2440309960875	17.8790634885812	Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation; Valine, leucine and isoleucine degradation
PWY78	29.4232362232362	24.2421707421707	0	Metabolism; Biosynthesis of other secondary metabolites; Acarbose and validamycin biosynthesis; Acarbose and validamycin biosynthesis
PWY79	27.25	19.1428571428571	9	Metabolism; Biosynthesis of other secondary metabolites; Betalain biosynthesis; Betalain biosynthesis
PWY80	2	0	0	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various alkaloids; Biosynthesis of various alkaloids
PWY81	15.9120588235294	56.2184523809524	36.7333333333333	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of various antibiotics
PWY82	33.8888888888889	58.0952380952381	13.5	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various other secondary metabolites; Biosynthesis of various other secondary metabolites
PWY83	0	20.0708333333333	21.9887626262626	Metabolism; Biosynthesis of other secondary metabolites; Carbapenem biosynthesis; Carbapenem biosynthesis
PWY84	31	23.5	0	Metabolism; Biosynthesis of other secondary metabolites; Clavulanic acid biosynthesis; Clavulanic acid biosynthesis
PWY85	0	11.3333333333333	0	Metabolism; Biosynthesis of other secondary metabolites; Indole alkaloid biosynthesis; Indole alkaloid biosynthesis
PWY86	20.1812851391409	24.6983691733104	25.3161258259759	Metabolism; Biosynthesis of other secondary metabolites; Monobactam biosynthesis; Monobactam biosynthesis
PWY87	26.9747474747475	34.6495726495726	22.8603683897802	Metabolism; Biosynthesis of other secondary metabolites; Penicillin and cephalosporin biosynthesis; Penicillin and cephalosporin biosynthesis
PWY88	26.4104910714286	28.7211988304094	20.5798470535313	Metabolism; Biosynthesis of other secondary metabolites; Phenazine biosynthesis; Phenazine biosynthesis
PWY89	28.5666666666667	37.3875	22.3560606060606	Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis; Phenylpropanoid biosynthesis
PWY90	0	0	49.1847984041429	Metabolism; Biosynthesis of other secondary metabolites; Prodigiosin biosynthesis; Prodigiosin biosynthesis
PWY91	22.970939343727	24.5208402311313	27.5623195751412	Metabolism; Biosynthesis of other secondary metabolites; Streptomycin biosynthesis; Streptomycin biosynthesis
PWY92	22.5019296607532	0	0	Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis; Tropane, piperidine and pyridine alkaloid biosynthesis
PWY93	19.605160608342	32.7353959160142	28.236613552584	Metabolism; Carbohydrate metabolism; Amino sugar and nucleotide sugar metabolism; Amino sugar and nucleotide sugar metabolism
PWY94	22.3823691492751	25.7407565877972	25.0033489812643	Metabolism; Carbohydrate metabolism; Ascorbate and aldarate metabolism; Ascorbate and aldarate metabolism
PWY95	27.3992370670166	28.0958503220039	21.0369642608592	Metabolism; Carbohydrate metabolism; Butanoate metabolism; Butanoate metabolism
PWY96	30.3725245225907	0	22.4734784063131	Metabolism; Carbohydrate metabolism; C5-Branched dibasic acid metabolism; C5-Branched dibasic acid metabolism
PWY97	26.8119119805984	28.8166966528784	23.5430674579825	Metabolism; Carbohydrate metabolism; Citrate cycle (TCA cycle); Citrate cycle (TCA cycle)
PWY98	17.2279898555865	30.5360645702909	22.6809224179638	Metabolism; Carbohydrate metabolism; Fructose and mannose metabolism; Fructose and mannose metabolism
PWY99	13.8669331468627	44.5327424241498	29.3948285390254	Metabolism; Carbohydrate metabolism; Galactose metabolism; Galactose metabolism
