	S1	S28	S6
PWY1	23.9545454545455	80	9.66666666666667
PWY2	37.6025641025641	28.5865384615385	13.1515151515152
PWY3	24.1734819201649	30.5143385023585	29.8066425034297
PWY4	29.2	31.7875	0
PWY5	0	0	5
PWY6	23.9133805239014	21.0812186379928	23.3350827099334
PWY7	30.0523282862005	21.1200452803901	30.4239480579367
PWY8	0	0	12.75
PWY9	24.9723493843334	26.5904153387757	30.0866021226973
PWY10	28.5180544957988	22.4366612554113	22.9686490574191
PWY11	26.0558071577355	30.578089710809	26.7835881789519
PWY12	23.751671379893	39.0058009585769	27.3659173354312
PWY13	29.8666666666667	26.2857142857143	30.0909090909091
PWY14	2	0	0
PWY15	0	21.2797868643505	0
PWY16	32.7503654466975	0	0
PWY17	22.4911834622165	31.7073674455234	29.4838470774867
PWY18	41.6598822151485	29.2332698567281	26.9258404474831
PWY19	14.2261683759514	40.9645890904124	25.9515159288659
PWY20	31.5	0	0
PWY21	23.5032017378703	35.0938463038615	23.3445462171291
PWY22	0	12.3212121212121	5
PWY23	26.5657618445881	35.3615701393178	34.2996205238551
PWY24	15.493031358885	32.0294117647059	11.0128205128205
PWY25	24.8041839372755	31.3707294489057	26.3217407540811
PWY26	23.0597184070487	28.5544816008029	19.8134285540813
PWY27	24.014151589777	27.3118631963084	25.3975731858078
PWY28	22.4273522231377	30.1940083671711	23.9188612931586
PWY29	24.3471802859886	28.8909027698519	26.8540665378071
PWY30	21.179823157778	27.4528498879626	24.5992429216742
PWY31	33.7318181818182	13.7291666666667	6
PWY32	19.4332747539534	25.5347969399894	22.9854055153884
PWY33	20.5098531303857	46.583435665933	32.3343445862091
PWY34	30	0	0
PWY35	23.625059956384	29.0191770147277	29.5002888602788
PWY36	0	0	22
PWY37	31.0591972680509	51.3051333590094	49.4308345056022
PWY38	34.5625	26.9243386243386	34.7660256410256
PWY39	36.4696202531646	0	0
PWY40	28.7282786152842	32.2587723499361	29.8164918414918
PWY41	11.2959595959596	0	0
PWY42	0	0	9
PWY43	24	0	0
PWY44	20.8927749228205	51.2050314749784	22.2463442675255
PWY45	20.0889180923373	52.4772013956916	25.8927894202569
PWY46	18.2993233236375	24.4229775694061	21.0919358762772
PWY47	0	32	0
PWY48	19.5310201149425	0	0
PWY49	7.51666666666667	37.9731909641494	78.56
PWY50	36.9239926739927	32.9534632034632	14.3715909090909
PWY51	23.6293897300974	30.5928422619048	19.4386702747841
PWY52	28.2923076923077	0	0
PWY53	56.0504003062151	22.5227272727273	40.8098791179083
PWY54	0	0	30.9481522717049
PWY55	21.3333928571429	115.721839342429	57.3381121964455
PWY56	28.2713971742543	25.6759696745926	0
PWY57	11.6	0	18.6
PWY58	9.2	23.9495238095238	0
PWY59	23.1042452830189	34.0440900562852	15.3454545454545
PWY60	0	0	8.27272727272727
PWY61	0	0	13
PWY62	19.3030303030303	17.8	15.3888888888889
PWY63	22.9202164463854	27.2644819478058	22.9621918012079
PWY64	23.0406388577715	0	0
PWY65	24.8923591693772	31.8794421829575	21.8203509650657
PWY66	30.6832077423764	0	0
PWY67	22.381754296724	28.7490231583575	22.0244873896015
PWY68	20.1960861446646	0	25.2187197110147
PWY69	27.8288050139406	0	0
PWY70	20.6336206068699	30.0008049048553	0
PWY71	0	0	17.1175223358048
PWY72	21.5662089404417	31.368911073347	29.5716551783745
PWY73	35.1702825256173	24.5438398060117	0
PWY74	23.0933972954542	0	26.9034158184158
PWY75	19.4864852385802	0	28.3993281780006
PWY76	26.7349755052041	0	0
PWY77	28.4216428451729	0	0
PWY78	26.1742472036745	28.9989898627777	23.6590336178399
PWY79	17.122287314642	30.7722206624462	22.841749339621
PWY80	14.4763417813849	44.9692949484065	29.2997301009714
PWY81	20.619799162898	31.7388083552221	24.1579822722758
PWY82	29.2359418006042	0	0
PWY83	19.2788193696125	0	30.7184880505927
PWY84	19.5621924256299	0	0
PWY85	26.4465627961485	27.5244718233104	20.7853244616275
PWY86	24.9642880074839	30.9205598169953	24.6321442426318
PWY87	18.352054689012	26.0194400651825	21.8319873917786
PWY88	22.1420642206698	31.697719846612	22.8223608920109
PWY89	25.1669570716963	0	0
PWY90	29.9414599270976	30.3056609472219	17.6159359633031
PWY91	28.3942736184402	27.7354961186651	23.4178984342769
PWY92	25.8626112015479	31.671820750378	0
PWY93	22.3705939222011	30.6084564565234	26.0966254823596
