	Tier1	Tier2	Tier3	Tier4
PWY1	Cellular Processes	Cell growth and death	Apoptosis	Apoptosis
PWY2	Cellular Processes	Cell growth and death	Apoptosis - fly	Apoptosis - fly
PWY3	Cellular Processes	Cell growth and death	Cell cycle - Caulobacter	Cell cycle - Caulobacter
PWY4	Cellular Processes	Cell growth and death	Meiosis - yeast	Meiosis - yeast
PWY5	Cellular Processes	Cell growth and death	Oocyte meiosis	Oocyte meiosis
PWY6	Cellular Processes	Cell motility	Bacterial chemotaxis	Bacterial chemotaxis
PWY7	Cellular Processes	Cell motility	Flagellar assembly	Flagellar assembly
PWY8	Cellular Processes	Cellular community - eukaryotes	Signaling pathways regulating pluripotency of stem cells	Signaling pathways regulating pluripotency of stem cells
PWY9	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli	Biofilm formation - Escherichia coli
PWY10	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Pseudomonas aeruginosa	Biofilm formation - Pseudomonas aeruginosa
PWY11	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae	Biofilm formation - Vibrio cholerae
PWY12	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	Quorum sensing
PWY13	Cellular Processes	Transport and catabolism	Autophagy - yeast	Autophagy - yeast
PWY14	Cellular Processes	Transport and catabolism	Endocytosis	Endocytosis
PWY15	Cellular Processes	Transport and catabolism	Lysosome	Lysosome
PWY16	Cellular Processes	Transport and catabolism	Peroxisome	Peroxisome
PWY17	Environmental Information Processing	Membrane transport	ABC transporters	ABC transporters
PWY18	Environmental Information Processing	Membrane transport	Bacterial secretion system	Bacterial secretion system
PWY19	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	Phosphotransferase system (PTS)
PWY20	Environmental Information Processing	Signal transduction	Calcium signaling pathway	Calcium signaling pathway
PWY21	Environmental Information Processing	Signal transduction	Two-component system	Two-component system
PWY22	Genetic Information Processing	Folding, sorting and degradation	Proteasome	Proteasome
PWY23	Genetic Information Processing	Folding, sorting and degradation	Protein export	Protein export
PWY24	Genetic Information Processing	Folding, sorting and degradation	Protein processing in endoplasmic reticulum	Protein processing in endoplasmic reticulum
PWY25	Genetic Information Processing	Folding, sorting and degradation	RNA degradation	RNA degradation
PWY26	Genetic Information Processing	Folding, sorting and degradation	Sulfur relay system	Sulfur relay system
PWY27	Genetic Information Processing	Replication and repair	Base excision repair	Base excision repair
PWY28	Genetic Information Processing	Replication and repair	DNA replication	DNA replication
PWY29	Genetic Information Processing	Replication and repair	Homologous recombination	Homologous recombination
PWY30	Genetic Information Processing	Replication and repair	Mismatch repair	Mismatch repair
