	geneNAME	S1	S28	S6
K00001	E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]	732.689	1409.49	552.709
K00002	AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	11.6799	0	14.7258
K00003	hom; homoserine dehydrogenase [EC:1.1.1.3]	322.095	561.805	413.304
K00004	BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	136.116	274.688	146.276
K00005	gldA; glycerol dehydrogenase [EC:1.1.1.6]	287.056	254.387	307.769
K00007	dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	5.39072	0	0
K00008	SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]	119.944	306.176	77.065
K00009	mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	97.0329	233.671	147.749
K00010	iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	92.0915	64.6325	14.7258
K00011	AKR1B; aldehyde reductase [EC:1.1.1.21]	11.6799	0	0
K00012	UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]	632.062	290.018	278.318
K00013	hisD; histidinol dehydrogenase [EC:1.1.1.23]	477.079	429.226	368.145
K00014	aroE; shikimate dehydrogenase [EC:1.1.1.25]	384.089	522.86	634.191
K00015	gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]	94.7868	568.434	73.629
K00016	LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]	268.188	1047.79	510.495
K00018	hprA; glycerate dehydrogenase [EC:1.1.1.29]	189.574	139.208	312.187
K00019	BDH1, bdhA; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	446.98	95.7058	32.8876
K00020	HIBADH, mmsB; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	973.025	219.585	284.208
K00021	HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	86.2515	0	0
K00023	phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]	244.829	24.8586	16.1984
K00024	mdh; malate dehydrogenase [EC:1.1.1.37]	515.712	514.988	357.346
K00027	ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	384.987	710.543	275.373
K00029	E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	1100.16	220.413	412.813
K00030	IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	66.0363	0	21.107
K00031	IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]	478.876	669.941	527.675
K00032	E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43]	6.7384	25.6873	0
K00033	PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	148.694	714.686	1009.7
K00034	gdh; glucose 1-dehydrogenase [EC:1.1.1.47]	68.7317	49.303	43.6866
K00036	G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	120.393	971.973	622.902
K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	67.384	107.721	0
K00040	uxuB; fructuronate reductase [EC:1.1.1.57]	186.429	0	0
K00041	uxaB; tagaturonate reductase [EC:1.1.1.58]	159.475	31.9019	0
K00042	garR, glxR; 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	410.144	83.6908	134.005
K00043	gbd; 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	3.59381	0	0
K00045	E1.1.1.67, mtlK; mannitol 2-dehydrogenase [EC:1.1.1.67]	0	0	1.96344
K00046	idnO; gluconate 5-dehydrogenase [EC:1.1.1.69]	294.243	186.854	323.477
K00048	fucO; lactaldehyde reductase [EC:1.1.1.77]	116.799	62.5609	73.1382
K00052	leuB, IMDH; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]	380.046	522.86	525.22
K00053	ilvC; ketol-acid reductoisomerase [EC:1.1.1.86]	558.389	541.504	551.727
K00054	mvaA; hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	91.193	771.447	365.2
K00055	E1.1.1.90; aryl-alcohol dehydrogenase [EC:1.1.1.90]	86.2515	28.5874	55.4672
K00057	gpsA; glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	424.519	489.715	698.985
K00058	serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]	1074.1	751.145	711.747
K00059	fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]	2114.06	1369.3	1341.52
K00060	tdh; threonine 3-dehydrogenase [EC:1.1.1.103]	49.8642	61.7323	0
K00064	E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]	33.692	36.4593	0
K00065	kduD; 2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase [EC:1.1.1.127]	59.2979	97.363	13.7441
K00066	algD; GDP-mannose 6-dehydrogenase [EC:1.1.1.132]	2.24613	33.1449	0
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	457.762	363.765	446.683
K00068	srlD; sorbitol-6-phosphate 2-dehydrogenase [EC:1.1.1.140]	31.4459	0	71.6656
K00073	allD; ureidoglycolate dehydrogenase (NAD+) [EC:1.1.1.350]	11.2307	0	0
K00074	paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]	870.601	171.11	61.8484
K00075	murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]	417.781	508.774	703.894
K00076	hdhA; 7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]	87.5992	14.5009	20.6161
