#S28	Level1	Level2	Level3	Level4
31.87944218295745	Metabolism	Amino acid metabolism	Arginine biosynthesis	Arginine biosynthesis
27.264481947805848	Metabolism	Amino acid metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism
30.305660947221867	Metabolism	Energy metabolism	Nitrogen metabolism	Nitrogen metabolism
30.111373927289385	Metabolism	Global and overview maps	Metabolic pathways	Metabolic pathways
28.746884992909543	Metabolism	Global and overview maps	Microbial metabolism in diverse environments	Microbial metabolism in diverse environments
30.608456456523438	Metabolism	Global and overview maps	Biosynthesis of amino acids	Biosynthesis of amino acids
35.093846303861454	Environmental Information Processing	Signal transduction	Two-component system	Two-component system
51.20503147497839	Human Diseases	Drug resistance: antimicrobial	beta-Lactam resistance	beta-Lactam resistance
31.707367445523353	Environmental Information Processing	Membrane transport	ABC transporters	ABC transporters
39.00580095857688	Cellular Processes	Cellular community - prokaryotes	Quorum sensing	Quorum sensing
31.370729448905713	Genetic Information Processing	Folding, sorting and degradation	RNA degradation	RNA degradation
30.578089710809014	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae	Biofilm formation - Vibrio cholerae
32.084460639768736	Metabolism	Global and overview maps	Biosynthesis of secondary metabolites	Biosynthesis of secondary metabolites
36.196792006942104	Metabolism	Lipid metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism
25.74479502471524	Organismal Systems	Environmental adaptation	Plant-pathogen interaction	Plant-pathogen interaction
27.452849887962582	Genetic Information Processing	Replication and repair	Mismatch repair	Mismatch repair
31.738808355222144	Metabolism	Carbohydrate metabolism	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis
28.998989862777698	Metabolism	Carbohydrate metabolism	Citrate cycle (TCA cycle)	Citrate cycle (TCA cycle)
30.920559816995308	Metabolism	Carbohydrate metabolism	Pyruvate metabolism	Pyruvate metabolism
31.360557959890205	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	Pyrimidine metabolism
28.89090276985192	Genetic Information Processing	Replication and repair	Homologous recombination	Homologous recombination
29.47487688630392	Metabolism	Lipid metabolism	Fatty acid biosynthesis	Fatty acid biosynthesis
34.80709867918459	Metabolism	Metabolism of cofactors and vitamins	Biotin metabolism	Biotin metabolism
29.637946864404977	Metabolism	Global and overview maps	Biosynthesis of cofactors	Biosynthesis of cofactors
51.305133359009425	Genetic Information Processing	Translation	Ribosome	Ribosome
30.84842299093656	Metabolism	Metabolism of cofactors and vitamins	Riboflavin metabolism	Riboflavin metabolism
30.19400836717105	Genetic Information Processing	Replication and repair	DNA replication	DNA replication
29.019177014727667	Genetic Information Processing	Translation	Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis
30.51433850235849	Cellular Processes	Cell growth and death	Cell cycle - Caulobacter	Cell cycle - Caulobacter
37.571051469455305	Metabolism	Glycan biosynthesis and metabolism	Peptidoglycan biosynthesis	Peptidoglycan biosynthesis
31.911259945456948	Metabolism	Global and overview maps	Nucleotide metabolism	Nucleotide metabolism
27.52447182331036	Metabolism	Carbohydrate metabolism	Propanoate metabolism	Propanoate metabolism
35.36157013931781	Genetic Information Processing	Folding, sorting and degradation	Protein export	Protein export
29.23326985672811	Environmental Information Processing	Membrane transport	Bacterial secretion system	Bacterial secretion system
26.924338624338628	Genetic Information Processing	Translation	Ribosome biogenesis in eukaryotes	Ribosome biogenesis in eukaryotes
30.217394978960215	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	Thiamine metabolism
31.69771984661197	Metabolism	Energy metabolism	Carbon fixation in photosynthetic organisms	Carbon fixation in photosynthetic organisms
32.8553800275989	Metabolism	Metabolism of cofactors and vitamins	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis
