#iTPM	TAXname	TAXid
52	Staphylococcus	1279
1	Nocardioides sp. HDW12B	2714939
15793	unclassified	0
357	Bacillales	1385
9	Streptococcus mitis B6	365659
59	cellular organisms	131567
7	Staphylococcus schweitzeri	1654388
7	Nocardioides sambongensis	2589074
77	Staphylococcus pseudintermedius	283734
12	Bacteroides faecium	2715212
276	Lactobacillales	186826
17	Streptococcus phage P9	403905
0	Streptococcus uberis 0140J	218495
7	Glutamicibacter arilaitensis Re117	861360
2	Rothia kristinae	37923
4	Arthrobacter sp. 24S4-2	2575374
0	Staphylococcus intermedius group	2815305
27	Bacillus subtilis subsp. subtilis str. BAB-1	1302650
3	Lederbergia lenta	1467
0	Streptococcus pneumoniae INV200	869216
0	Streptomyces vietnamensis	362257
12	Kocuria sp. TGY1127_2	2711328
7	Halolamina sp. CBA1230	1853690
2	Nocardioides panacisoli	627624
0	unclassified Comamonas	2638500
5	Streptomyces griseus subsp. griseus	67263
12	Helcococcus kunzii	40091
43	Staphylococcus pasteuri SP1	1276282
21	Streptococcus ruminantium	1917441
0	Acinetobacter sp. WCHA55	2004646
15	Nocardioides sp. JS614	196162
1708	Bacteroidaceae	815
0	Leifsonia sp. 21MFCrub1.1	1798223
129	Bacteroidota	976
11	Enterococcus	1350
16	Staphylococcus sp. HL28	2897335
544	Propionibacteriaceae	31957
4	Streptococcus iniae	1346
4	Bacteroides intestinalis	329854
20	Dietzia sp. oral taxon 368	712270
2	Staphylococcus equorum	246432
27413	Staphylococcus schleiferi	1295
1482	Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1	754252
11	Streptomyces	1883
45	Propionibacterium freudenreichii subsp. freudenreichii	66712
4	Staphylococcus lugdunensis	28035
15	Staphylococcus agnetis	985762
2	Micrococcus sp. KBS0714	1179670
7	Mycobacteriales	85007
7	Brachybacterium vulturis	2017484
3	Nocardia brasiliensis	37326
13	Staphylococcus phage 3MRA	1505026
12	Streptococcus oriscaviae	2781599
74606	Staphylococcus aureus	1280
2	Micrococcus sp. SL257	2995171
0	Rhodococcus koreensis	99653
59	Weissella hellenica	46256
3	Streptococcus cristatus	45634
5	Streptococcus phage A25	1701850
10	Streptococcus pneumoniae PCS8235	1159083
6	Fusobacterium gonidiaformans ATCC 25563	469615
810	Nocardioidaceae	85015
6	Phocaeicola coprophilus	387090
18	unclassified Staphylococcus	91994
11	Xanthomonas translucens	343
2315	Bacteroidales	171549
4	Jeotgalibaca sp. PTS2502	1903686
7	Streptococcus urinalis	149016
0	Marinobacter	2742
35185	Micrococcus luteus	1270
11	Streptococcus intermedius	1338
4	Streptococcus suis T15	1340847
8	Sutcliffiella horikoshii	79883
4	Peptoniphilus sp. SAHP1	2948573
77	Streptococcus parauberis NCFD 2020	873447
18	Streptococcus oralis subsp. dentisani	1458253
12	Staphylococcus simiae	308354
1	Parabacteroides distasonis	823
50	Staphylococcus hominis	1290
22	Streptococcus sp. 116-D4	2598453
2	Streptococcus parasanguinis FW213	1114965
10	Streptococcus agalactiae ILRI005	1309807
31	Streptococcus equi	1336
1	Streptococcus pseudopneumoniae IS7493	1054460
8	Vagococcus penaei	633807
4	Acinetobacter junii	40215
20	Streptococcus sp. oral taxon 431	712633
3	Microbacteriaceae	85023
1360	Bacteria	2
15	Acinetobacter johnsonii	40214
15	Propionibacterium	1743
36	Streptococcus suis TL13	1276647
12232	Phocaeicola dorei CL03T12C01	997877
34390	Streptococcus pneumoniae	1313
11	Nocardioides humi	449461
0	Rhodovastum atsumiense	504468
125	Micrococcus luteus NCTC 2665	465515
23	Staphylococcus phage 187	2908096
37	Ezakiella coagulans	46507
28	Streptococcus parasuis	1501662
4	Corynebacterium xerosis	1725
2	Nocardiopsaceae	83676
4	Acinetobacter sp. TGL-Y2	1407071
5	Mageeibacillus indolicus UPII9-5	699246
4	Staphylococcus aureus subsp. aureus TCH60	548473
10	Streptococcus constellatus	76860
0	Streptobacillus moniliformis	34105
15	Halovivax sp. CGA30	2961597
0	Streptococcus suis YB51	1380773
11	Streptomyces sp. 3211	1964449
187	Staphylococcus roterodami	2699836
0	Staphylococcus pettenkoferi	170573
0	Staphylococcus sp. M0911	2025492
9	Streptococcus sanguinis	1305
10	Kaistia sp. 32K	2795690
9	Lactobacillus iners	147802
6	Streptococcus sp. LPB0220	2610896
25	Staphylococcus carnosus	1281
7	Treponema putidum	221027
121	Streptococcus milleri	33040
10	Acidipropionibacterium jensenii	1749
3	Caldimonas brevitalea	413882
0	Ornithinimicrobium sp. HY1793	2934158
2	Streptococcus ratti	1341
29	Terrabacteria group	1783272
21	Staphylococcus cohnii	29382
7	Streptococcus halichoeri	254785
60	Streptococcus mitis	28037
2	Streptococcus sp. HN38	3020829
9	Staphylococcus caprae	29380
7	Lactococcus phage r1t	43685
2714	Staphylococcaceae	90964
54	Propionibacteriales	85009
2	Yimella sp. cx-51	2770551
3	Aeromicrobium sp. A1-2	2107713
241	Streptococcus toyakuensis	2819619
16	Staphylococcus sp. AntiMn-1	1715860
0	Acidipropionibacterium acidipropionici	1748
7	Staphylococcus piscifermentans	70258
70	Streptococcus pneumoniae SPN032672	869311
31	Streptococcus suis ST1	1004951
3	Alistipes onderdonkii subsp. vulgaris	2585117
8	Streptococcus gordonii	1302
0	Nocardioides sp. LMS-CY	2840457
8	Staphylococcus capitis	29388
