	Lineage
id2789425	Bacteria; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_HMT_175; 2789425
id1655	Bacteria; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_naeslundii; 1655
id712116	Bacteria; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_oral_taxon_169; 712116
id706438	Bacteria; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_oral_taxon_171; 706438
id544580	Bacteria; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_oris; 544580
id111015	Bacteria; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_radicidentis; 111015
id1654	Bacteria; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_sp; 1654
id1656	Bacteria; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; Actinomyces; Actinomyces_viscosus; 1656
id2049	Bacteria; Actinomycetota; Actinomycetes; Actinomycetales; Actinomycetaceae; NA; Actinomycetaceae_sp; 2049
id28025	Bacteria; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium_animalis; 28025
id216816	Bacteria; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium_longum; 216816
id28026	Bacteria; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium_pseudocatenulatum; 28026
id1694	Bacteria; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium_pseudolongum; 1694
id1678	Bacteria; Actinomycetota; Actinomycetes; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium; Bifidobacterium_sp; 1678
id1883	Bacteria; Actinomycetota; Actinomycetes; Kitasatosporales; Streptomycetaceae; Streptomyces; Streptomyces_sp; 1883
id273384	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Brevibacteriaceae; Brevibacterium; Brevibacterium_aurantiacum; 273384
id1652028	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Dermabacteraceae; Brachybacterium; Brachybacterium_huguangmaarense; 1652028
id2714941	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Intrasporangiaceae; Phycicoccus; Phycicoccus_HDW14; 2714941
id2541726	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; Microbacterium; Microbacterium_wangchenii; 2541726
id85023	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Microbacteriaceae; NA; Microbacteriaceae_sp; 85023
id1663	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Arthrobacter; Arthrobacter_sp; 1663
id256701	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Glutamicibacter; Glutamicibacter_arilaitensis; 256701
id257984	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Glutamicibacter; Glutamicibacter_mysorens; 257984
id1049583	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Kocuria; Kocuria_indica; 1049583
id1272	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Kocuria; Kocuria_varians; 1272
id1179670	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Micrococcus; Micrococcus_KBS0714; 1179670
id2856555	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Micrococcus; Micrococcus_KD337-16; 2856555
id1270	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Micrococcus; Micrococcus_luteus; 1270
id2995171	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Micrococcus; Micrococcus_SL257; 2995171
id1269	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Micrococcus; Micrococcus_sp; 1269
id566027	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Micrococcus; Micrococcus_yunnanensis; 566027
id37923	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; Rothia; Rothia_kristinae; 37923
id1268	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; Micrococcaceae; NA; Micrococcaceae_sp; 1268
id85006	Bacteria; Actinomycetota; Actinomycetes; Micrococcales; NA; NA; Micrococcales_sp; 85006
id1881	Bacteria; Actinomycetota; Actinomycetes; Micromonosporales; Micromonosporaceae; Micromonospora; Micromonospora_viridifaciens; 1881
id1718	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium_glutamicum; 1718
id1719	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium_pseudotuberculosis; 1719
id1716	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium_sp; 1716
id1727	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium_variabile; 1727
id1725	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Corynebacteriaceae; Corynebacterium; Corynebacterium_xerosis; 1725
id712270	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Dietziaceae; Dietzia; Dietzia_oral_taxon_368; 712270
id1762	Bacteria; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; NA; Mycobacteriaceae_sp; 1762
