	S1	S28	S6
id2789425	0	0	1
id1655	0	0	5
id712116	0	0	5
id706438	0	0	3
id544580	0	0	3883
id111015	0	1	0
id1654	0	0	611
id1656	0	0	2
id2049	0	0	1
id28025	56	0	0
id216816	0	0	9
id28026	0	0	2
id1694	2	0	0
id1678	1733	0	0
id1883	0	3	0
id273384	0	2	0
id1652028	0	2	0
id2714941	0	1	0
id2541726	0	1	0
id85023	0	1	0
id1663	0	1	0
id256701	0	1	0
id257984	0	1	0
id1049583	0	1	0
id1272	0	1	0
id1179670	0	10	0
id2856555	0	19	0
id1270	0	24901	0
id2995171	0	2	0
id1269	0	9477	0
id566027	0	13	0
id37923	0	3	0
id1268	0	71	0
id85006	0	146	0
id1881	0	1	0
id1718	0	3	0
id1719	0	0	3385
id1716	0	0	32
id1727	0	1	0
id1725	0	1	0
id712270	0	7	0
id1762	0	1	0
id334542	0	1	0
id1827	0	1	0
id85007	0	0	2
id2107713	0	1	0
id546871	0	0	1
id200618	0	2	0
id2898796	0	1	0
id450734	0	1	0
id2518370	0	1	0
id2045452	0	1	0
id449461	0	1	0
id2760705	0	1	0
id2589074	0	1	0
id2518371	0	1	0
id1839	0	19	0
id2486272	0	1	0
id2500546	0	1	0
id2803858	0	2	0
id2045	0	77410	0
id85015	0	628	0
id1748	0	3	0
id1749	0	13	0
id33010	0	1	0
id119981	0	1	0
id1744	0	35369	0
id1743	0	7	0
id31957	0	575	0
id85009	0	51	0
id1760	3	785	8
id201174	1	1	0
id547144	0	1	0
id309805	0	1	0
id1005039	0	0	1
id1475485	0	0	1
id1892404	0	1	0
id293387	0	4	0
id1390	0	9	1
id1392	0	7	2
id1452	0	1	0
id1455	0	1	0
id1396	0	15	8
id260554	0	1	0
id1402	0	1	1
id1471	0	0	1
id1405	0	2	1
id1071078	1	0	0
id2026186	0	3	0
id64104	0	1	0
id1408	0	1	0
id561879	0	1	0
id659243	0	2	0
id1386	0	12	4
id1423	0	6	1
id1428	0	12	6
id492670	0	11	2
id1890302	0	1	0
id1413	0	1	0
id255247	0	0	1
id1233873	0	0	3
id129338	0	3	0
id2663022	0	1	0
id1467	0	1	0
id400634	0	1	0
id2086577	0	0	1
id2897333	0	0	3
id1535204	0	0	1
id152268	0	0	1
id182709	0	1	0
id1426	0	0	1
id450367	0	1	0
id1404	0	3	0
id2963940	0	0	1
id459532	0	1	0
id1398	0	4	2
id186817	0	13	14
id1641	0	0	1
id1642	0	4	0
id1639	0	2	2
id51101	0	0	1
id2950604	0	1	0
id1619311	0	2	1
id1406	1	2	3
id2942204	0	6	0
id1930546	0	0	1
id1474	0	1	0
id269673	0	0	1
id227979	0	1	0
id1855823	0	5	0
id1898474	0	1	0
id69965	0	2	0
id42858	0	1	0
id2962659	0	1	0
id1296	0	8	0
id71237	0	15	0
id2799680	0	3	0
id2583989	0	4	0
id985762	0	14	0
id1715860	0	17	0
id985002	0	522	0
id29378	0	17	0
id1280	3	123762	25
id29379	0	6	0
id29388	0	33	0
id29380	0	27	0
id1281	0	10	0
id46126	0	12	0
id74706	0	194	0
id29382	0	9	0
id70255	0	10	0
id2044912	0	6	0
id53344	0	9	1
id1955013	0	19	0
id1282	0	33795	0
id246432	0	8	0
id46127	0	12	1
id1293	0	7	0
id1283	0	110	1
id2897335	0	13	0
id1290	0	89	0
id1284	0	5	0
id2929481	0	4	0
id2989767	0	1	0
id2989769	0	1	0
id29384	0	4	0
id2781774	0	2	0
id28035	0	37	0
id155085	0	12	0
id2025492	0	15	0
id1912064	0	9	0
id1294	0	1	0
id2836364	0	3	0
id2836365	0	1	0
