feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
seq64	country	USA	-1.19842523207737	0.0567969000435869	43	11	7.922161767296e-99	2.03599557419507e-96
seq321	country	USA	-0.988563243611463	0.173822924739184	43	9	1.29150032512312e-08	1.65957791778321e-06
seq105	country	USA	-3.00277347821509	0.538656572402625	43	26	2.48156014413057e-08	2.12586985680519e-06
seq274	country	USA	1.20051227815149	0.226928071858614	43	10	1.22131487751124e-07	7.8469480880097e-06
seq112	country	USA	-2.64062595738788	0.52204752380331	43	21	4.23210439563388e-07	2.17530165935581e-05
seq201	country	USA	-4.61606302397983	0.953814518592981	43	13	1.30112877416369e-06	5.57316824933448e-05
seq182	country	USA	-3.55806545446591	0.74979928650998	43	14	2.08138692043738e-06	6.68645548190509e-05
seq185	country	USA	-5.98931939076159	1.25840187806185	43	12	1.94107012073415e-06	6.68645548190509e-05
seq333	country	USA	1.07949124722133	0.23490567294403	43	9	4.31869478358192e-06	0.000123322728820061
seq280	country	USA	-3.58384957162163	0.78390026231205	43	15	4.8351010433117e-06	0.000124262096813111
seq266	country	USA	-5.3840580953362	1.18322972861722	43	12	5.35677922832614e-06	0.000125153841970893
seq87	country	USA	5.68249693019985	1.27291541679697	43	10	8.03838226488452e-06	0.000172155353506277
seq157	country	USA	-4.24622509351482	0.973921623315664	43	11	1.30107114640743e-05	0.000257211757405161
seq52	country	USA	5.90820644832779	1.36864105726745	43	10	1.58277761048647e-05	0.000286283544362781
seq49	country	USA	4.96485574498909	1.1533141705684	43	12	1.67091562857655e-05	0.000286283544362781
seq55	country	USA	5.34255171418161	1.26379924185765	43	10	2.3643477879616e-05	0.000377464008067067
seq26	country	USA	-6.13361936517624	1.45630148712109	43	9	2.5336787031034e-05	0.000377464008067067
seq168	country	USA	-4.14916338067168	0.987386538018337	43	12	2.64371678801837e-05	0.000377464008067067
seq247	country	USA	-3.2653958405031	0.797092955364394	43	13	4.19206013165059e-05	0.000567031291491686
seq65	country	USA	-2.6342840508626	0.650640368805379	43	19	5.14906074241495e-05	0.000661654305400322
seq718	country	USA	-3.65743792827912	0.927864969169706	43	12	8.0879745105871e-05	0.000989814023438516
seq278	country	USA	-4.85054106036815	1.24318216553034	43	10	9.55140317361306e-05	0.00111577755255389
seq318	country	USA	-3.94849268520954	1.02722919918243	43	10	0.000121129760388519	0.00135349340955867
seq733	country	USA	-4.63148749430547	1.21907658580327	43	10	0.000145177495978997	0.00155460901944176
seq440	country	USA	-3.95854302106304	1.05351257851473	43	10	0.000171639212381457	0.00176445110328138
seq13	country	USA	2.11051215937349	0.570769021777237	43	33	0.000217592496878793	0.00215081814222499
seq797	country	USA	-3.6018680771243	0.980311058750967	43	11	0.000238587039338235	0.0022709951522195
seq97	country	USA	-2.40264587555697	0.658327995483313	43	18	0.000262630306898635	0.00241057103117676
seq193	country	USA	2.95544280766974	0.812185446309255	43	15	0.000273829713245059	0.00242669780358552
seq11	country	USA	-3.30067994855191	0.934064494877517	43	23	0.000409825353029785	0.0033975843783437
seq136	country	USA	-2.38268140416254	0.67289395129982	43	22	0.000398694586628819	0.0033975843783437
seq137	country	USA	3.9002759565483	1.1181588968916	43	12	0.000486423944339893	0.00378821071804099
seq158	country	USA	-2.57794668105779	0.738020359376378	43	18	0.000477525783283238	0.00378821071804099
seq829	country	USA	-4.33697945678328	1.24677113462659	43	9	0.00050409858415762	0.00381039223907378
seq288	country	USA	-2.10297203909003	0.611767949850053	43	17	0.000587040872381471	0.00431055726291537
seq326	country	USA	-3.3349219031517	0.986080710602046	43	11	0.000719609575474931	0.00513721280269604
seq222	country	USA	-3.85564859790041	1.161290140237	43	10	0.00089971552557565	0.00624937540737681
seq59	country	USA	2.3202524132429	0.709030812386949	43	23	0.00106627957722052	0.00721141714067562
seq411	country	USA	-3.18201423156404	0.981483609404774	43	10	0.00118675195752559	0.00743890861180673
seq46	country	USA	2.09447941904437	0.644865040835807	43	24	0.00116246024090626	0.00743890861180673
seq166	country	USA	-2.50545117901963	0.772292617253557	43	16	0.00117792007681102	0.00743890861180673
seq4	country	USA	-1.6527743818514	0.511985946883671	43	43	0.00124587712280041	0.00762358144189775
seq322	country	USA	3.27671582455755	1.01870890452342	43	10	0.00129747384323621	0.00775466924910946
seq398	country	USA	-2.66755883974747	0.844358797775781	43	11	0.00158163973371811	0.00923821389921713
seq213	country	USA	3.82814720324948	1.21853261829859	43	9	0.00168025002564266	0.00959609459089253
seq169	country	USA	-2.39054229849311	0.767336479523071	43	18	0.00183710046011158	0.0100699127195999
seq803	country	USA	-3.71008166176454	1.19116801072599	43	9	0.00184157936895406	0.0100699127195999
seq243	country	USA	-3.09401422374747	1.00240838924018	43	12	0.00202473090011284	0.0108407466943542
seq89	country	USA	-2.21105223128557	0.722803979297701	43	19	0.00222082422915013	0.0116479964671752
seq35	country	USA	-1.79792818933938	0.59496542818946	43	29	0.0025119050125368	0.0129111917644392
seq240	country	USA	3.24931685036944	1.08493627183535	43	9	0.00274500646390704	0.0135666665620021
seq107	country	USA	-2.22892950718597	0.743290820985529	43	21	0.00271106217424566	0.0135666665620021
seq151	country	USA	2.4052344268362	0.805851086068482	43	16	0.00283844258307601	0.0137637687518969
seq218	country	USA	-2.25296124807604	0.766738946192131	43	16	0.00329945037460333	0.0157029397457973
seq7	country	USA	2.93204445429673	1.01695742819674	43	16	0.00393715427803027	0.0183972481718869
seq154	country	USA	-3.23149428882741	1.12789838869816	43	10	0.00416932884494203	0.0191342413062518
seq61	country	USA	-1.84512882670852	0.648006414275232	43	27	0.0044078930933245	0.019874184648849
seq264	country	USA	2.93803895732097	1.0380582481273	43	11	0.00465011976372832	0.0206048410220375
seq230	country	USA	-2.24374459297111	0.80381486046821	43	13	0.00524854555410832	0.022862308600099
seq16	country	USA	1.08445888366944	0.391298593305225	43	39	0.00558096968262448	0.0239051534739082
seq30	country	USA	1.8954453551294	0.686353676209175	43	26	0.00575160651950323	0.0242321782870874
seq98	country	USA	-1.40920451111565	0.514402587158579	43	32	0.00615332156766482	0.0255065103691913
seq44	country	USA	-1.1989535533669	0.439676909575309	43	38	0.00639330331496204	0.0260806182848452
seq306	country	USA	1.69783721469858	0.630718617376622	43	19	0.00710442961562779	0.0285287251752553
seq521	country	USA	-2.25753791510345	0.872086726734948	43	11	0.00963495684760285	0.0380951370743682
seq302	country	USA	-2.9244692535325	1.15214015447214	43	9	0.0111394689381608	0.0433764169258687
seq400	country	USA	-2.64390464884958	1.06943575183402	43	9	0.0134268356618608	0.0507455406632093
seq108	country	USA	-2.20438351909053	0.89103900407644	43	18	0.0133629415073112	0.0507455406632093
seq66	country	USA	1.44501803188865	0.586577152494452	43	30	0.013759756863449	0.0510395906858262
seq47	country	USA	1.46582451884627	0.595914500833381	43	31	0.013901834038941	0.0510395906858262
seq36	country	USA	3.25342363232209	1.34538792448647	43	10	0.0155972923991321	0.0564578048813656
seq153	country	USA	1.68955054773257	0.714084210860522	43	18	0.0179795873374652	0.0641771381351189
seq570	country	USA	-2.40580045230548	1.02224241756341	43	11	0.0185999117104217	0.0646856119818675
seq331	country	USA	2.05062110314435	0.871512851072366	43	11	0.0186254291309657	0.0646856119818675
seq68	country	USA	1.90190796941276	0.816951697164383	43	22	0.0199092167688526	0.0682222494612682
seq623	country	USA	-2.05398805768964	0.8879620332448	43	11	0.0207144751628819	0.069231188385689
seq32	country	USA	1.4375789142105	0.621618005778424	43	30	0.0207424183101092	0.069231188385689
seq28	country	USA	1.3214105559828	0.574097117712215	43	33	0.0213509933069041	0.0703487856394148
seq472	country	USA	-1.76417151270923	0.787383480506798	43	12	0.0250552834101517	0.0755054521824088
seq129	country	USA	1.9299735567925	0.864362386917642	43	16	0.0255602114391812	0.0755054521824088
seq27	country	USA	1.37773034010967	0.610581442469487	43	31	0.0240441187525855	0.0755054521824088
seq189	country	USA	-1.78735939443569	0.798858572359765	43	17	0.0252607623743966	0.0755054521824088
seq113	country	USA	-1.6302789136513	0.719118058278484	43	21	0.0233869744521885	0.0755054521824088
seq15	country	USA	0.958578808291291	0.427519536884173	43	37	0.0249492798562448	0.0755054521824088
seq305	country	USA	-1.54201366871978	0.681479992162905	43	15	0.0236515738557743	0.0755054521824088
seq406	country	USA	-2.5032557884562	1.11911964948701	43	9	0.0252988912592276	0.0755054521824088
seq212	country	USA	-2.00212329389587	0.890825305813448	43	16	0.0246085621775358	0.0755054521824088
seq56	country	USA	1.2660191692425	0.588454033411742	43	28	0.0314420733055134	0.0918251459036016
seq73	country	USA	-0.881190219154295	0.420774258854703	43	35	0.0362411591652145	0.104651437140001
seq303	country	USA	-1.83827948486295	0.880734799019938	43	13	0.0368690528339365	0.105281628648019
seq176	country	USA	-1.06468693908426	0.515349017359646	43	26	0.0388329010830693	0.109670940421415
seq76	country	USA	-1.20458311865675	0.588998469214307	43	28	0.0408412603229195	0.11408917285859
seq75	country	USA	-1.76490911185755	0.869342454688581	43	20	0.0423397132440272	0.114447908153394
seq350	country	USA	-1.48890384340583	0.734849339890623	43	13	0.0427509695825909	0.114447908153394
seq500	country	USA	-1.78948932069351	0.881511981429543	43	10	0.0423542333090242	0.114447908153394
seq143	country	USA	-2.57668325701102	1.26599757698542	43	10	0.0418208241781794	0.114447908153394
seq72	country	USA	1.40039896730143	0.695207270932598	43	15	0.0439715622676771	0.116501974255598
seq33	country	USA	1.02867199882512	0.51521255713626	43	32	0.0458689467570201	0.119073932490446
seq21	country	USA	0.995724060735768	0.498033482416033	43	36	0.0455746624081896	0.119073932490446
seq53	country	USA	1.57296823265271	0.790694866446148	43	21	0.0466626680839843	0.11992305697584
seq265	country	USA	-1.06057491627494	0.541440743878173	43	24	0.0501360432752904	0.127573892294551
seq114	country	USA	-1.17110779070626	0.602536154419592	43	24	0.0519399963260087	0.130868422115532
